fitness_discipline,workouts,timeframe,image
Cycling,49,Current YTD,Cycling-remove.png
Strength,45,Current YTD,Strength-remove.png
Bike Bootcamp,7,Current YTD,Bike Bootcamp-remove.png
Circuit,4,Current YTD,Circuit-remove.png
Running,3,Current YTD,Running-remove.png
Strength,63,Previous YTD,Strength-remove.png
Circuit,35,Previous YTD,Circuit-remove.png
Running,16,Previous YTD,Running-remove.png
Cycling,6,Previous YTD,Cycling-remove.png
Bike Bootcamp,2,Previous YTD,Bike Bootcamp-remove.png